huc,run_dir,n_basins,median_nse,mean_nse,p25_nse,p75_nse,min_nse,max_nse,frac_nse_below_0,frac_nse_below_0p3
01,exp003_loro_huc01_2504_215015,27,0.6302804946899414,0.6219985992820175,0.5546027421951294,0.7134488821029663,0.27557122707366943,0.8503120541572571,0.0,0.037037037037037035
02,exp003_loro_huc02_2504_225934,75,0.6063724756240845,0.2826355457305908,0.43763354420661926,0.7443325817584991,-20.942337036132812,0.8553122878074646,0.02666666666666667,0.13333333333333333
03,exp003_loro_huc03_2604_000417,92,0.5703001618385315,0.3102742783401323,0.38091281056404114,0.6801355183124542,-6.558769226074219,0.7649545669555664,0.10869565217391304,0.16304347826086957
04,exp003_loro_huc04_2604_010723,31,0.4464976191520691,-0.8691609155747199,-2.8353933095932007,0.6785946786403656,-7.354570388793945,0.8268137574195862,0.3225806451612903,0.41935483870967744
05,exp003_loro_huc05_2604_021609,45,0.6988524794578552,0.667173777686225,0.6223340034484863,0.77101731300354,0.1928023099899292,0.8335892558097839,0.0,0.022222222222222223
06,exp003_loro_huc06_2604_032259,17,0.6838983297348022,0.6676190285121694,0.5754033327102661,0.7488077878952026,0.46952009201049805,0.8653897047042847,0.0,0.0
07,exp003_loro_huc07_2604_043352,33,0.6459564566612244,0.4805414496046124,0.5889992713928223,0.7166728377342224,-1.7104108333587646,0.8123013377189636,0.09090909090909091,0.12121212121212122
08,exp003_loro_huc08_2604_054240,12,0.43129658699035645,0.318771834174792,0.19155150651931763,0.6572720557451248,-0.7515852451324463,0.7260817289352417,0.25,0.25
09,exp003_loro_huc09_2604_065325,9,0.42920202016830444,0.3030397693316142,0.28096240758895874,0.5854154825210571,-0.8998726606369019,0.7200495004653931,0.1111111111111111,0.3333333333333333
10,exp003_loro_huc10_2604_080432,70,0.34884968400001526,-2.5105281608445305,-0.02117443084716797,0.5923691987991333,-84.6167984008789,0.8132874369621277,0.2714285714285714,0.44285714285714284
11,exp003_loro_huc11_2604_091007,31,0.5809792280197144,0.48533818029588266,0.28701210021972656,0.7456450164318085,-0.9291187524795532,0.8253688812255859,0.03225806451612903,0.25806451612903225
12,exp003_loro_huc12_2604_101853,37,0.34722983837127686,-0.4854759847795641,0.003051459789276123,0.48409080505371094,-18.179046630859375,0.6868687272071838,0.24324324324324326,0.4594594594594595
13,exp003_loro_huc13_2604_112658,7,0.016665279865264893,0.1561067955834525,-0.07601296901702881,0.43894070386886597,-0.35477542877197266,0.7050022482872009,0.42857142857142855,0.7142857142857143
14,exp003_loro_huc14_2604_123811,17,0.5444017648696899,-168.89604403692132,0.16138380765914917,0.800809919834137,-2875.808349609375,0.8915871381759644,0.23529411764705882,0.35294117647058826
15,exp003_loro_huc15_2604_135013,19,0.1778542399406433,0.1380934715270996,-0.042112648487091064,0.24690952897071838,-0.2061551809310913,0.6541726589202881,0.2631578947368421,0.7894736842105263
16,exp003_loro_huc16_2604_150112,18,0.10919937491416931,-5.5538777146074505,-1.3395146429538727,0.4332110732793808,-45.09535217285156,0.8058304786682129,0.3888888888888889,0.6666666666666666
17,exp003_loro_huc17_2604_161221,91,0.2941778898239136,-0.18270033466946947,-0.2886355519294739,0.6164078414440155,-10.047269821166992,0.8287606239318848,0.3626373626373626,0.5164835164835165
18,exp003_loro_huc18_2604_171517,40,0.32796382904052734,-0.80300302952528,0.01743331551551819,0.5805078446865082,-16.19603729248047,0.7936307191848755,0.25,0.425
